id;title;description;start_time;end_time;location;privacy
1;pish;../fake-data/blob/hipster.txt;2025-11-10T07:46:20;2025-11-10T14:27:18;so;PUBLIC
2;pomelo;../fake-data/blob/hipster.txt;2025-11-10T02:37:42;2025-11-10T12:30:10;upon;SHARED
3;readies;../fake-data/blob/hipster.txt;2025-11-10T11:02:39;2025-11-10T15:44:17;between preheat since;SHARED
4;oof geez although;../fake-data/blob/hipster.txt;2025-11-10T15:37:16;2025-11-09T23:35:58;place amid knuckle;PUBLIC
5;surface definitive;../fake-data/blob/hipster.txt;2025-11-10T15:23:59;2025-11-09T18:09:32;madly unto anti;PRIVATE
6;speedily;../fake-data/blob/hipster.txt;2025-11-10T07:10:52;2025-11-09T17:45:28;psst meaningfully;PRIVATE
7;politely extricate;../fake-data/blob/hipster.txt;2025-11-10T11:31:43;2025-11-10T11:49:49;reluctantly than;SHARED
8;of yuck incidentally;../fake-data/blob/hipster.txt;2025-11-10T01:46:10;2025-11-10T03:17:35;underneath;PUBLIC
9;teriyaki;../fake-data/blob/hipster.txt;2025-11-10T04:18:00;2025-11-10T06:26:55;stingy ripe;SHARED
10;but converse requirement;../fake-data/blob/hipster.txt;2025-11-10T07:50:47;2025-11-09T20:17:21;excepting yowza pneumonia;PUBLIC
